Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Control10_20190721_MiFish_S52.1	Control10_20190721_MiFish_S52.1.fastq	Conventional base calls	Sanger / Illumina 1.9	1104.0	246.1 kbp	0.0	103-230	52.0	10.144927536231885	221.04257246376812	227	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Control12_20190731_MiFish_S53.1	Control12_20190731_MiFish_S53.1.fastq	Conventional base calls	Sanger / Illumina 1.9	82.0	14.8 kbp	0.0	168-229	47.0	29.268292682926827	179.73170731707316	168	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Control9_20190715_MiFish_S51.1	Control9_20190715_MiFish_S51.1.fastq	Conventional base calls	Sanger / Illumina 1.9	3574.0	813.6 kbp	0.0	54-231	53.0	7.52658086177952	225.72495803021823	227	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ExtNeg_20190910_MiFish_S55.1	ExtNeg_20190910_MiFish_S55.1.fastq	Conventional base calls	Sanger / Illumina 1.9	178.0	35 kbp	0.0	168-230	50.0	43.82022471910113	196.17977528089887	176	pass	fail	fail	warn	fail	fail	pass	warn	fail	fail	pass
ExtNeg_20190918_MiFish_S56.1	ExtNeg_20190918_MiFish_S56.1.fastq	Conventional base calls	Sanger / Illumina 1.9	192.0	34.4 kbp	0.0	165-230	49.0	40.10416666666667	178.77083333333334	168	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ExtNeg_20191028_MiFish_S57.1	ExtNeg_20191028_MiFish_S57.1.fastq	Conventional base calls	Sanger / Illumina 1.9	50.0	9.4 kbp	0.0	165-230	48.0	72.0	188.0	168	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
ExtNeg_20191031_MiFish_S58.1	ExtNeg_20191031_MiFish_S58.1.fastq	Conventional base calls	Sanger / Illumina 1.9	25.0	4.6 kbp	0.0	168-229	47.0	64.0	183.28	168	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
GU190706-CTD11-220_MiFish_S30.1	GU190706-CTD11-220_MiFish_S30.1.fastq	Conventional base calls	Sanger / Illumina 1.9	292856.0	49.8 Mbp	0.0	165-230	46.0	2.0382030759144425	169.15594012074195	168	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190707-CTD13-310_MiFish_S31.1	GU190707-CTD13-310_MiFish_S31.1.fastq	Conventional base calls	Sanger / Illumina 1.9	270499.0	52.2 Mbp	0.0	147-233	54.0	3.675059796893889	192.5975770705252	176	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190707-CTD14-315_MiFish_S32.1	GU190707-CTD14-315_MiFish_S32.1.fastq	Conventional base calls	Sanger / Illumina 1.9	384576.0	66.2 Mbp	0.0	103-246	48.0	2.8498918289232815	171.25729634714594	167	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190708-CTD16-252_MiFish_S33.1	GU190708-CTD16-252_MiFish_S33.1.fastq	Conventional base calls	Sanger / Illumina 1.9	203344.0	36 Mbp	0.0	161-230	49.0	3.792587929813518	176.51282555669212	170	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190708-CTD17-171_MiFish_S34.1	GU190708-CTD17-171_MiFish_S34.1.fastq	Conventional base calls	Sanger / Illumina 1.9	173107.0	30.7 Mbp	0.0	165-235	47.0	3.475307179952284	176.84144488668858	168	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190709-CTD20-280_MiFish_S35.1	GU190709-CTD20-280_MiFish_S35.1.fastq	Conventional base calls	Sanger / Illumina 1.9	251805.0	48 Mbp	0.0	103-232	52.0	3.3192351224161554	190.69987093187189	177	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190710-CTD22-245_MiFish_S36.1	GU190710-CTD22-245_MiFish_S36.1.fastq	Conventional base calls	Sanger / Illumina 1.9	237240.0	40.5 Mbp	0.0	103-230	46.0	2.6546956668352726	169.8532119372787	167	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190710-CTD23-190_MiFish_S37.1	GU190710-CTD23-190_MiFish_S37.1.fastq	Conventional base calls	Sanger / Illumina 1.9	144053.0	26.9 Mbp	0.0	163-234	49.0	2.5372605915878186	186.27714799414105	168	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
