Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Control10_20190721_MiFish_S52.2	69.92753623188406	19.384057971014542
Control12_20190731_MiFish_S53.2	42.68292682926829	57.31707317073168
Control9_20190715_MiFish_S51.2	86.96138780078344	5.428091773922759
ExtNeg_20190910_MiFish_S55.2	10.112359550561797	89.88764044943778
ExtNeg_20190918_MiFish_S56.2	4.6875	95.31249999999982
ExtNeg_20191028_MiFish_S57.2	24.0	76.0
ExtNeg_20191031_MiFish_S58.2	32.0	68.0
GU190706-CTD11-220_MiFish_S30.2	82.39715081814953	12.367511678094331
GU190707-CTD13-310_MiFish_S31.2	52.315165675289	30.79715636656696
GU190707-CTD14-315_MiFish_S32.2	18.518056248959894	70.16324471625894
GU190708-CTD16-252_MiFish_S33.2	16.49421669682902	73.21288063576992
GU190708-CTD17-171_MiFish_S34.2	48.15460957673577	44.68796755763778
GU190709-CTD20-280_MiFish_S35.2	53.89289331029964	38.299874903198884
GU190710-CTD22-245_MiFish_S36.2	56.45590962738155	36.11743382228965
GU190710-CTD23-190_MiFish_S37.2	47.74978653689961	42.467008670419936
GU190714-CTD25-185_MiFish_S38.2	35.229216497625856	56.82858623210522
GU190714-CTD26-260_MiFish_S39.2	10.31931608133087	64.39417744916825
GU190715-CTD28-310_MiFish_S40.2	17.627741364842493	70.88834962465695
GU190721-CTD31-205_MiFish_S41.2	68.99787733214166	24.89316836107696
GU190722-CTD33-205_MiFish_S42.2	69.43645077180396	25.284534073694473
GU190724-CTD36-310_MiFish_S43.2	33.07297557113775	57.48628703913145
GU190727-CTD40-210_MiFish_S44.2	74.41094131365634	19.37012855193771
GU190727-CTD41B-145_MiFish_S45.2	85.30168401944745	9.967105833656106
GU190728-CTD43-245_MiFish_S46.2	40.39342013034465	51.4689872190655
GU190728-CTD44B-125_MiFish_S47.2	61.25623287363551	28.937379273168318
GU190729-CTD46-240_MiFish_S48.2	57.37519613894445	33.874218232927525
GU190729-CTD47-140_MiFish_S49.2	17.1430071812107	74.17192894933768
GU190731-CTD50-150_MiFish_S50.2	72.9522852948643	21.414774671361243
PCRNeg_MiFish_S54.2	17.813765182186234	82.18623481781422
