Sample	Unique Reads	Duplicate Reads
Control10_20190721_MiFish_S52.2	144.0	960.0
Control12_20190731_MiFish_S53.2	47.0	35.0
Control9_20190715_MiFish_S51.2	247.0	3327.0
ExtNeg_20190910_MiFish_S55.2	146.0	32.0
ExtNeg_20190918_MiFish_S56.2	155.0	37.0
ExtNeg_20191028_MiFish_S57.2	35.0	15.0
ExtNeg_20191031_MiFish_S58.2	16.0	9.0
GU190706-CTD11-220_MiFish_S30.2	5877.0	286979.0
GU190707-CTD13-310_MiFish_S31.2	25822.0	244677.0
GU190707-CTD14-315_MiFish_S32.2	16105.0	368471.0
GU190708-CTD16-252_MiFish_S33.2	9189.0	194155.0
GU190708-CTD17-171_MiFish_S34.2	5745.0	167362.0
GU190709-CTD20-280_MiFish_S35.2	7890.0	243915.0
GU190710-CTD22-245_MiFish_S36.2	7145.0	230095.0
GU190710-CTD23-190_MiFish_S37.2	7053.0	137000.0
GU190714-CTD25-185_MiFish_S38.2	8536.0	273250.0
GU190714-CTD26-260_MiFish_S39.2	28290.0	188110.0
GU190715-CTD28-310_MiFish_S40.2	10955.0	209510.0
GU190721-CTD31-205_MiFish_S41.2	3554.0	139662.0
GU190722-CTD33-205_MiFish_S42.2	3939.0	173632.0
GU190724-CTD36-310_MiFish_S43.2	5810.0	135662.0
GU190727-CTD40-210_MiFish_S44.2	4846.0	206975.0
GU190727-CTD41B-145_MiFish_S45.2	2886.0	170093.0
GU190728-CTD43-245_MiFish_S46.2	4758.0	129348.0
GU190728-CTD44B-125_MiFish_S47.2	7591.0	170497.0
GU190729-CTD46-240_MiFish_S48.2	5596.0	128875.0
GU190729-CTD47-140_MiFish_S49.2	5570.0	146772.0
GU190731-CTD50-150_MiFish_S50.2	3999.0	177203.0
PCRNeg_MiFish_S54.2	182.0	65.0
