Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sample_134716_R2	61.3	50.0	259.101	45.45454545454545	1000.0
Sample_134717_R2	76.9	52.0	256.929	45.45454545454545	1000.0
Sample_134718_R2	66.4	51.0	256.492	45.45454545454545	1000.0
Sample_134719_R2	74.9	52.0	256.814	45.45454545454545	1000.0
Sample_134720_R2	67.3	49.0	256.249	45.45454545454545	1000.0
Sample_134721_R2	68.5	51.0	259.976	45.45454545454545	1000.0
Sample_134722_R2	64.30000000000001	49.0	258.896	45.45454545454545	1000.0
Sample_134723_R2	72.4	51.0	255.874	45.45454545454545	1000.0
Sample_134767_R2	58.6	51.0	257.064	45.45454545454545	1000.0
Sample_134768_R2	67.6	51.0	256.788	45.45454545454545	1000.0
Sample_134771_R2	63.1	49.0	258.162	45.45454545454545	1000.0
Sample_134772_R2	69.9	51.0	257.184	45.45454545454545	1000.0
Sample_134777_R2	60.8	49.0	257.234	45.45454545454545	1000.0
Sample_134778_R2	69.7	51.0	257.256	45.45454545454545	1000.0
Sample_134789_R2	61.3	50.0	258.248	45.45454545454545	1000.0
Sample_134790_R2	69.9	52.0	256.638	45.45454545454545	1000.0
